# IKS01A3 
 
time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
148564000,234,917,-752,167862,68503,110900
148583000,216,759,-589,221374,70091,253328
148602000,500,239,-187,263114,37847,419771
148621000,685,-1629,227,247740,-10244,361847
148640000,467,-3349,389,173312,-15282,218320
148659000,818,-3794,1724,39251,-412,-85160
148678000,578,-2533,751,-76351,37343,-197709
148697000,645,-586,-562,-71083,34412,-168381
148716000,284,825,-1463,-50946,65038,-127022
148735000,358,481,-1462,-1129,19419,11847
148754003,770,-18,-609,29648,30030,84442
148773000,735,-374,-583,55374,22977,118717
148792000,328,-847,-160,46809,27770,120320
148811000,158,-1165,150,29435,37801,70564
148830000,447,-1600,260,7160,59114,-7160
148849000,658,-1254,112,-27496,70244,-51664
148868000,597,-956,-137,-49160,71801,-36717
148887000,334,-728,-246,-60061,79007,-10732
148906000,387,-758,-176,-62320,83984,18534
148925000,666,-981,-49,-67633,81496,27740
148944000,896,-995,-94,-71297,70015,21282
148963000,776,-906,-338,-78106,64656,33954
148982000,711,-886,-312,-86961,59969,59801
149001000,946,-1044,-267,-92106,53877,61221
149020000,931,-997,-373,-94030,49068,29419
149039000,752,-807,-524,-94671,47801,9007
149058000,731,-736,-534,-93404,50839,-3709
149077000,931,-611,-506,-90778,53572,-15206
149096000,1076,-491,-448,-87007,43404,-42931
149115000,898,-408,-616,-90167,40015,-54778
149134000,689,-368,-693,-86381,45832,-44778
149153000,823,-235,-531,-77603,51343,-32427
149172001,838,-259,-419,-68854,53374,-35206
149191000,771,-273,-427,-61587,60824,-48152
149210000,1010,-295,-339,-53725,60946,-86427
149229000,960,-118,-416,-43297,67129,-107664
149248000,882,17,-348,-26549,65053,-118916
149267000,709,240,-382,-3862,74061,-106885
149286000,681,405,-342,20580,78229,-65557
149305000,787,296,-267,45496,77847,-15358
149324000,971,36,-261,63511,75404,-4000
149343000,1025,136,-188,84427,70809,-10824
149362000,635,594,-339,118854,77114,7664
149381000,382,1222,-471,165679,86961,57206
149400000,361,1153,-357,215679,83709,121358
149419000,473,772,-36,248778,80992,229114
149438000,1059,-320,540,261847,24977,404763
149457000,1125,-2003,754,227984,-33328,430977
149476000,805,-3060,1112,197236,-56244,202824
149495000,1019,-3136,1488,96106,-26137,-75801
149514000,660,-2721,568,6793,17190,-203557
149533000,249,-793,-57,16122,54458,-148824
149552000,160,-28,-483,17038,75786,-40381
149571000,407,39,-343,24152,57908,74076
149590000,663,-36,127,63633,47358,120564
149609000,509,-659,322,64030,33480,89984
149628000,475,-1096,586,57374,20000,53419
149647000,403,-1059,544,46290,34427,748
149666000,432,-637,309,49419,53740,-1251
149685000,476,-531,344,52641,63786,25938
149704000,385,-431,349,69938,74290,73435
149723000,384,-576,340,81832,83755,102748
149742000,558,-576,545,92091,78702,110305
149761000,794,-749,672,94183,66396,94412
149780000,850,-1006,694,85160,55435,34519
149799000,670,-1039,657,79893,56854,-6625
149818000,650,-1017,624,65893,62595,-41038
149837000,869,-919,688,53190,54564,-72778
149856000,827,-805,648,45755,42931,-78015
149875000,733,-788,520,42305,40091,-77267
149894003,839,-682,507,44992,37358,-80351
149913000,837,-641,406,46229,30061,-110580
149932000,883,-572,410,48473,22778,-148687
149951000,795,-609,354,50442,31267,-205832
149970000,732,-421,406,58152,37465,-212152
149989000,662,-323,423,56458,45786,-183480
150008000,676,-218,474,60290,47969,-147816
150027000,688,13,634,70687,42595,-111129
150046000,777,67,779,82900,26274,-54137
150065000,827,-36,910,95618,-3938,1053
150084000,696,-131,831,105679,-31450,66473
150103000,615,-103,722,114564,-46519,130091
150122000,318,-182,732,120564,-67984,202442
150141000,150,-275,665,122656,-49419,215068
150160000,254,-520,655,136351,-17221,175206
150179000,594,-650,1069,144244,20335,90000
150198000,974,-829,1348,133389,49496,-12412
150217000,1044,-892,1493,89190,36625,-41175
150236000,223,-274,1048,18671,31099,63251
150255000,-357,214,1117,-28625,-3770,99938
150274000,553,-1093,1020,-87725,-48274,38977
150293000,848,-913,901,-117801,-27114,-143511
150312000,543,855,775,-78580,-4473,-151236
150331000,665,866,503,-50458,-18519,40885
150350000,799,284,651,-7923,-21450,181450
150369000,117,-186,625,9603,-20625,264122
150388000,525,-478,963,13938,-31862,185908
150407000,713,-1235,1045,-27526,-33587,33099
